experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Recycle,\benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0bm_10_1x7.png,,720x486,None,1x7,None,FALSE,1227963.728,55.07392074,3.568966881,4353.058544,0.440725208,0.311712544,0.217870357,0.151360055,60.03895545
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Shelves,\benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0bm_10_1x7.png,,738x497,None,1x7,None,FALSE,1956348.563,115.7240014,5.946980873,6170.019946,0.585731005,0.439858344,0.340935966,0.242983296,60.74359941
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,\benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0bm_10_1x7.png,,450x375,None,1x7,None,FALSE,832375.25,137.9147722,5.05045294,4767.599966,0.321335825,0.220596801,0.186048346,0.164617868,35.39238858
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Vintage,\benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0bm_10_1x7.png,,722x480,None,1x7,None,FALSE,4225309.84,752.449135,12.49208353,15953.29568,0.620824328,0.472381955,0.340271228,0.247292595,59.18922639
bm_10_3x1,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Adirondack,\benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0bm_10_3x1.png,,718x496,None,3x1,None,FALSE,3497301.928,319.6069047,9.853830822,10650.55132,0.631337379,0.521528917,0.418631909,0.346649085,59.82803464
bm_10_3x1,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,ArtL,\benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0bm_10_3x1.png,,347x277,None,3x1,None,FALSE,3112866.25,1736.247748,32.44292541,12907.02271,0.951442954,0.932474544,0.908701498,0.882239523,27.76878333
bm_10_3x1,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Jadeplant,\benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0bm_10_3x1.png,,659x497,None,3x1,None,FALSE,8318751.815,1974.938083,25.75728113,25255.49104,0.676326064,0.556638914,0.502038908,0.462298006,56.07006216
bm_10_3x1,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,MotorcycleE,\benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0bm_10_3x1.png,,741x497,None,3x1,None,FALSE,15660794.1,3139.572003,43.43066586,33646.80798,0.997271162,0.995246719,0.99088446,0.982071199,60.72860384
bm_10_3x1,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,\benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0bm_10_3x1.png,,741x497,None,3x1,None,FALSE,2697236.834,269.6543604,7.480003312,9860.804977,0.448084128,0.316193049,0.249649882,0.222555624,61.21330786
bm_10_3x1,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PianoL,\benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0bm_10_3x1.png,,707x481,None,3x1,None,FALSE,8541853.779,1284.191395,26.53952966,20330.32556,0.939680725,0.910925451,0.868912613,0.810606673,57.45934796
